package_name,version,timestamp,total_risks_found,risk_types,severities,categories,max_severity,raw_output
@aviationpast/niotest,1.0.10,2025-12-23T23:46:31.801822,3,install_hook_present;potential_dependency_confusion;potential_dependency_confusion,medium;medium;medium,install_hook;supply_chain_attack;supply_chain_attack,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""install script found"", ""confidence"": 0.5, ""category"": ""install_hook""}, {""risk_type"": ""potential_dependency_confusion"", ""severity"": ""medium"", ""evidence"": ""Scoped package '@aviationpast/niotest' depends on non-scoped package '4equest'"", ""confidence"": 0.5, ""category"": ""supply_chain_attack""}, {""risk_type"": ""potential_dependency_confusion"", ""severity"": ""medium"", ""evidence"": ""Scoped package '@aviationpast/niotest' depends on non-scoped package 'npm'"", ""confidence"": 0.5, ""category"": ""supply_chain_attack""}]"
@aviationpast/niotest,1.0.14,2025-12-23T23:47:00.537712,3,install_hook_present;potential_dependency_confusion;potential_dependency_confusion,medium;medium;medium,install_hook;supply_chain_attack;supply_chain_attack,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""install script found"", ""confidence"": 0.5, ""category"": ""install_hook""}, {""risk_type"": ""potential_dependency_confusion"", ""severity"": ""medium"", ""evidence"": ""Scoped package '@aviationpast/niotest' depends on non-scoped package '4equest'"", ""confidence"": 0.5, ""category"": ""supply_chain_attack""}, {""risk_type"": ""potential_dependency_confusion"", ""severity"": ""medium"", ""evidence"": ""Scoped package '@aviationpast/niotest' depends on non-scoped package 'npm'"", ""confidence"": 0.5, ""category"": ""supply_chain_attack""}]"
@b2bgeo/backend-api-types,13.3.7,2025-12-23T23:47:22.486975,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@b2bgeo/backend-api-types,13.3.8,2025-12-23T23:47:49.162144,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@angular/core,16.2.6,2025-12-23T23:48:12.465711,1,potential_dependency_confusion,medium,supply_chain_attack,medium,"[{""risk_type"": ""potential_dependency_confusion"", ""severity"": ""medium"", ""evidence"": ""Scoped package '@angular/core' depends on non-scoped package 'tslib'"", ""confidence"": 0.5, ""category"": ""supply_chain_attack""}]"
@aviationpast/niotest,1.0.10,2025-12-23T23:54:17.919786,3,install_hook_present;potential_dependency_confusion;potential_dependency_confusion,medium;medium;medium,install_hook;supply_chain_attack;supply_chain_attack,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""install script found"", ""confidence"": 0.5, ""category"": ""install_hook""}, {""risk_type"": ""potential_dependency_confusion"", ""severity"": ""medium"", ""evidence"": ""Scoped package '@aviationpast/niotest' depends on non-scoped package '4equest'"", ""confidence"": 0.5, ""category"": ""supply_chain_attack""}, {""risk_type"": ""potential_dependency_confusion"", ""severity"": ""medium"", ""evidence"": ""Scoped package '@aviationpast/niotest' depends on non-scoped package 'npm'"", ""confidence"": 0.5, ""category"": ""supply_chain_attack""}]"
@aviationpast/niotest,1.0.14,2025-12-23T23:54:54.500551,3,install_hook_present;potential_dependency_confusion;potential_dependency_confusion,medium;medium;medium,install_hook;supply_chain_attack;supply_chain_attack,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""install script found"", ""confidence"": 0.5, ""category"": ""install_hook""}, {""risk_type"": ""potential_dependency_confusion"", ""severity"": ""medium"", ""evidence"": ""Scoped package '@aviationpast/niotest' depends on non-scoped package '4equest'"", ""confidence"": 0.5, ""category"": ""supply_chain_attack""}, {""risk_type"": ""potential_dependency_confusion"", ""severity"": ""medium"", ""evidence"": ""Scoped package '@aviationpast/niotest' depends on non-scoped package 'npm'"", ""confidence"": 0.5, ""category"": ""supply_chain_attack""}]"
@b2bgeo/backend-api-types,13.3.7,2025-12-23T23:55:16.273030,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@b2bgeo/backend-api-types,13.3.8,2025-12-23T23:55:42.752346,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@b2bgeo/certs,13.3.7,2025-12-23T23:56:05.540713,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@b2bgeo/certs,13.3.8,2025-12-23T23:56:28.967589,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@b2bgeo/ci-aws,13.3.7,2025-12-23T23:56:52.801732,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@b2bgeo/ci-aws,13.3.8,2025-12-23T23:57:18.116255,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
@angular/core,16.2.6,2025-12-23T23:57:41.195937,1,potential_dependency_confusion,medium,supply_chain_attack,medium,"[{""risk_type"": ""potential_dependency_confusion"", ""severity"": ""medium"", ""evidence"": ""Scoped package '@angular/core' depends on non-scoped package 'tslib'"", ""confidence"": 0.5, ""category"": ""supply_chain_attack""}]"
shelljs,0.10.0,2025-12-24T00:16:13.949854,0,,,[],none,[]
systeminformation,5.27.16,2025-12-24T00:26:41.426569,1,executable_binary,medium,system_capability,medium,"[{""risk_type"": ""executable_binary"", ""severity"": ""medium"", ""evidence"": ""Package defines 'bin' scripts which may execute arbitrary code"", ""confidence"": 0.6, ""category"": ""system_capability""}]"
execa,9.6.1,2025-12-24T00:28:38.187610,0,,,[],none,[]
1337qq-js,1.0.10,2026-01-10T17:34:21.296015,2,install_hook_present;install_hook_present,medium;medium,install_hook;install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""preinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}, {""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""postinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
1ru-cache,0.0.1,2026-01-10T17:34:21.303387,1,install_hook_present,medium,install_hook,medium,"[{""risk_type"": ""install_hook_present"", ""severity"": ""medium"", ""evidence"": ""postinstall script found"", ""confidence"": 0.5, ""category"": ""install_hook""}]"
